000000: 65.0, 24.8, 98.6, 37.5, 45.7, 44.3, 98.9, 19.3, 55.9, 17.6;  Average: 50.8
111111: 85.0, 84.8, 28.6, 67.5, 45.7, 74.3, 28.9, 39.3, 95.9, 13.6;  Average: 56.4
222222: 95.0, 14.8, 58.6, 27.5, 65.7, 34.3, 78.9, 29.3, 85.9, 12.6;  Average: 50.3
333333: 95.0, 14.8, 58.6, 97.5, 65.7, 34.3, 78.9, 29.3, 85.9, 25.6;  Average: 58.6
444444: 98.0, 34.8, 55.6, 97.5, 55.7, 34.2, 78.9, 89.3, 85.9, 24.6;  Average: 65.4
555555: 45.0, 54.8, 28.6, 47.5, 95.7, 34.3, 78.9, 29.3, 35.9, 15.6;  Average: 46.6
666666: 75.0, 44.8, 88.6, 27.5, 85.7, 94.3, 38.9, 59.3, 25.9, 19.6;  Average: 56.0
777777: 55.0, 44.8, 68.6, 37.5, 35.7, 94.3, 28.9, 39.3, 15.9, 17.6;  Average: 43.8
888888: 15.0, 74.8, 28.6, 57.5, 35.7, 24.3, 18.9, 39.3, 35.9, 18.6;  Average: 34.9
999999: 35.0, 34.8, 78.6, 67.5, 65.7, 34.3, 18.9, 79.3, 55.9, 14.6;  Average: 48.5
570
480
